transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000021382,1.093,0.012,0.102
ENSGACT00000021384,0.136,0.102,0.465
ENSGACT00000021387,-0.096,0.738,0.947
ENSGACT00000021388,0.053,0.478,0.783
ENSGACT00000021390,0.267,0.002,0.043
ENSGACT00000021391,-0.252,0.010,0.097
ENSGACT00000021392,0.164,0.038,0.208
ENSGACT00000021394,0.103,0.050,0.254
ENSGACT00000021395,0.556,0.001,0.014
ENSGACT00000021398,-0.148,0.006,0.068
ENSGACT00000021400,-0.170,0.280,0.554
ENSGACT00000021402,-0.027,0.344,0.641
ENSGACT00000021403,-0.143,0.152,0.511
ENSGACT00000021406,-0.068,0.236,0.545
ENSGACT00000021409,-0.143,0.001,0.014
ENSGACT00000021413,0.284,0.001,0.014
ENSGACT00000021414,0.223,0.020,0.152
ENSGACT00000021417,-0.049,0.594,0.816
ENSGACT00000021426,0.058,0.638,0.816
ENSGACT00000021427,0.162,0.032,0.191
ENSGACT00000021428,-0.040,0.902,1.000
ENSGACT00000021433,-0.091,0.296,0.640
ENSGACT00000021437,0.188,0.008,0.073
ENSGACT00000021439,0.033,0.906,1.000
ENSGACT00000021440,-0.017,0.676,0.862
ENSGACT00000021441,-0.061,0.164,0.511
ENSGACT00000021442,-0.145,0.120,0.465
ENSGACT00000021448,-0.016,0.750,0.947
ENSGACT00000021449,0.008,0.414,0.783
ENSGACT00000021450,-0.071,0.514,0.816
ENSGACT00000021453,-0.671,0.001,0.014
ENSGACT00000021456,0.430,0.001,0.014
ENSGACT00000021458,0.059,0.590,0.816
ENSGACT00000021461,0.170,0.001,0.014
ENSGACT00000021462,-0.150,0.226,0.545
ENSGACT00000021463,0.021,0.642,0.816
ENSGACT00000021464,-0.280,0.001,0.014
ENSGACT00000021465,-0.093,0.342,0.641
ENSGACT00000021468,0.138,0.070,0.309
ENSGACT00000021469,-0.040,0.270,0.545
ENSGACT00000021472,-0.025,0.716,0.883
ENSGACT00000021479,0.126,0.174,0.511
ENSGACT00000021484,0.148,0.060,0.266
ENSGACT00000021487,0.216,0.052,0.266
ENSGACT00000021488,-0.130,0.030,0.183
ENSGACT00000021495,-0.030,0.894,1.000
ENSGACT00000021498,0.307,0.001,0.014
ENSGACT00000021500,0.501,0.001,0.014
ENSGACT00000021501,-0.035,0.550,0.816
ENSGACT00000021502,0.057,0.102,0.465
ENSGACT00000021503,-0.081,0.102,0.465
ENSGACT00000021507,0.010,0.782,1.000
ENSGACT00000021511,0.274,0.001,0.014
ENSGACT00000021512,0.570,0.001,0.014
ENSGACT00000021513,-0.249,0.001,0.014
ENSGACT00000021515,0.093,0.134,0.498
ENSGACT00000021521,0.097,0.072,0.320
ENSGACT00000021523,0.118,0.010,0.097
ENSGACT00000021526,-0.020,0.754,0.947
ENSGACT00000021528,0.208,0.016,0.122
ENSGACT00000021534,-0.053,0.472,0.783
ENSGACT00000021535,-0.078,0.524,0.816
ENSGACT00000021538,0.155,0.278,0.554
ENSGACT00000021552,0.259,0.002,0.043
ENSGACT00000021558,0.140,0.168,0.511
ENSGACT00000021561,-0.040,0.402,0.708
ENSGACT00000021563,-0.046,0.288,0.640
ENSGACT00000021564,0.002,0.596,0.816
ENSGACT00000021565,-0.005,0.900,1.000
ENSGACT00000021570,0.094,0.146,0.511
ENSGACT00000021571,-0.086,0.240,0.545
ENSGACT00000021573,0.103,0.202,0.545
ENSGACT00000021575,-0.507,0.001,0.014
ENSGACT00000021577,0.051,0.414,0.783
ENSGACT00000021578,-0.083,0.426,0.783
ENSGACT00000021587,0.020,0.844,1.000
ENSGACT00000021588,-0.151,0.046,0.254
ENSGACT00000021591,0.043,0.606,0.816
ENSGACT00000021596,0.048,0.450,0.783
ENSGACT00000021597,0.318,0.001,0.014
ENSGACT00000021603,-0.273,0.001,0.014
ENSGACT00000021604,0.242,0.001,0.014
ENSGACT00000021608,0.585,0.001,0.014
ENSGACT00000021609,0.314,0.001,0.014
ENSGACT00000021612,0.157,0.002,0.043
ENSGACT00000021613,0.004,0.892,1.000
ENSGACT00000021616,-0.073,0.608,0.816
ENSGACT00000021617,0.224,0.002,0.043
ENSGACT00000021618,-0.056,0.782,1.000
ENSGACT00000021620,0.019,0.584,0.816
ENSGACT00000021621,0.306,0.001,0.014
ENSGACT00000021623,-0.001,0.732,0.883
ENSGACT00000021624,0.008,0.782,1.000
ENSGACT00000021625,0.131,0.186,0.537
ENSGACT00000021626,0.102,0.234,0.545
ENSGACT00000021628,0.090,0.038,0.208
ENSGACT00000021629,0.123,0.008,0.073
ENSGACT00000021630,0.121,0.008,0.073
ENSGACT00000021634,0.019,0.756,0.947
ENSGACT00000021635,0.056,0.558,0.816
ENSGACT00000021637,0.119,0.082,0.325
ENSGACT00000021638,-0.234,0.004,0.068
ENSGACT00000021641,-0.223,0.008,0.068
ENSGACT00000021644,-0.159,0.032,0.191
ENSGACT00000021649,0.087,0.328,0.641
ENSGACT00000021651,-0.180,0.464,0.783
ENSGACT00000021654,0.089,0.224,0.545
ENSGACT00000021659,-0.009,0.694,0.862
ENSGACT00000021664,-0.013,0.972,1.000
ENSGACT00000021666,0.127,0.220,0.545
ENSGACT00000021670,0.045,0.474,0.783
ENSGACT00000021672,-0.131,0.516,0.816
ENSGACT00000021675,0.492,0.001,0.014
ENSGACT00000021678,0.192,0.060,0.266
ENSGACT00000021681,0.320,0.001,0.014
ENSGACT00000021684,0.572,0.001,0.014
ENSGACT00000021687,0.139,0.136,0.503
ENSGACT00000021688,0.079,0.454,0.783
ENSGACT00000021694,0.157,0.144,0.503
ENSGACT00000021695,-0.086,0.282,0.554
ENSGACT00000021697,0.009,0.906,1.000
ENSGACT00000021701,0.072,0.562,0.816
ENSGACT00000021702,0.436,0.001,0.014
ENSGACT00000021705,-0.144,0.006,0.068
ENSGACT00000021711,-0.126,0.100,0.343
ENSGACT00000021712,0.044,0.408,0.708
ENSGACT00000021714,0.443,0.001,0.014
ENSGACT00000021715,0.560,0.001,0.014
ENSGACT00000021720,-0.129,0.142,0.503
ENSGACT00000021721,-0.117,0.118,0.465
ENSGACT00000021723,-0.076,0.144,0.503
ENSGACT00000021725,0.019,0.890,1.000
ENSGACT00000021727,-0.148,0.392,0.708
ENSGACT00000021728,-0.121,0.008,0.068
ENSGACT00000021739,-0.137,0.230,0.545
ENSGACT00000021741,-0.222,0.002,0.043
ENSGACT00000021742,-0.041,0.930,1.000
ENSGACT00000021743,-0.076,0.286,0.597
ENSGACT00000021745,0.061,0.258,0.545
ENSGACT00000021748,-0.294,0.001,0.014
ENSGACT00000021750,-0.046,0.382,0.708
ENSGACT00000021754,0.075,0.032,0.191
ENSGACT00000021756,-0.297,0.010,0.097
ENSGACT00000021757,-0.082,0.168,0.511
ENSGACT00000021758,-0.067,0.110,0.465
ENSGACT00000021760,-0.024,0.990,1.000
ENSGACT00000021761,0.144,0.001,0.014
ENSGACT00000021763,0.030,0.432,0.783
ENSGACT00000021770,0.489,0.008,0.073
ENSGACT00000021777,0.056,0.586,0.816
ENSGACT00000021784,-0.040,0.562,0.816
ENSGACT00000021785,0.309,0.001,0.014
ENSGACT00000021788,0.249,0.028,0.163
ENSGACT00000021789,-0.040,0.774,1.000
ENSGACT00000021792,-0.021,0.866,1.000
ENSGACT00000021793,-0.179,0.001,0.014
ENSGACT00000021797,0.211,0.082,0.325
ENSGACT00000021798,0.054,0.724,0.883
ENSGACT00000021799,0.031,0.784,1.000
ENSGACT00000021801,-0.147,0.001,0.014
ENSGACT00000021803,0.186,0.001,0.014
ENSGACT00000021807,0.235,0.001,0.014
ENSGACT00000021810,-0.010,0.994,1.000
ENSGACT00000021812,0.008,0.832,1.000
ENSGACT00000021813,-0.110,0.264,0.545
ENSGACT00000021819,-0.650,0.001,0.014
ENSGACT00000021824,0.114,0.308,0.641
ENSGACT00000021825,0.228,0.001,0.014
ENSGACT00000021826,-0.396,0.001,0.014
ENSGACT00000021833,0.186,0.002,0.043
ENSGACT00000021834,-0.081,0.078,0.325
ENSGACT00000021837,-0.024,0.736,0.947
ENSGACT00000021841,-0.023,0.916,1.000
ENSGACT00000021842,0.017,0.998,1.000
ENSGACT00000021846,0.041,0.724,0.883
ENSGACT00000021847,-0.099,0.130,0.465
ENSGACT00000021850,0.111,0.076,0.325
ENSGACT00000021853,-0.151,0.018,0.152
ENSGACT00000021854,0.173,0.014,0.122
ENSGACT00000021857,0.191,0.052,0.266
ENSGACT00000021859,0.119,0.146,0.511
ENSGACT00000021860,0.181,0.004,0.068
ENSGACT00000021865,0.090,0.232,0.545
ENSGACT00000021866,0.001,0.920,1.000
ENSGACT00000021867,0.095,0.068,0.271
ENSGACT00000021869,0.512,0.001,0.014
ENSGACT00000021875,-0.135,0.006,0.068
ENSGACT00000021876,-0.115,0.302,0.641
ENSGACT00000021877,-0.080,0.696,0.862
ENSGACT00000021882,0.053,0.236,0.545
ENSGACT00000021885,-0.042,0.484,0.783
ENSGACT00000021886,-0.250,0.002,0.043
ENSGACT00000021892,0.001,0.912,1.000
ENSGACT00000021894,-0.067,0.364,0.641
ENSGACT00000021896,-0.062,0.148,0.511
ENSGACT00000021901,0.081,0.074,0.325
ENSGACT00000021904,0.117,0.152,0.511
ENSGACT00000021905,0.181,0.812,1.000
ENSGACT00000021907,-0.231,0.018,0.152
ENSGACT00000021909,-0.091,0.010,0.097
ENSGACT00000021914,-0.159,0.038,0.208
ENSGACT00000021915,0.102,0.188,0.537
ENSGACT00000021923,0.491,0.001,0.014
ENSGACT00000021925,0.110,0.338,0.641
ENSGACT00000021928,0.058,0.234,0.545
ENSGACT00000021929,0.144,0.028,0.163
ENSGACT00000021930,0.106,0.408,0.708
ENSGACT00000021933,0.152,0.016,0.122
ENSGACT00000021934,-0.003,0.950,1.000
ENSGACT00000021935,0.288,0.008,0.073
ENSGACT00000021937,-0.066,0.114,0.465
ENSGACT00000021938,0.027,0.210,0.545
ENSGACT00000021939,-0.094,0.184,0.527
ENSGACT00000021941,-0.052,0.556,0.816
ENSGACT00000021944,-0.104,0.330,0.641
ENSGACT00000021945,0.410,0.001,0.014
ENSGACT00000021946,-0.028,0.544,0.816
ENSGACT00000021947,-0.253,0.001,0.014
ENSGACT00000021949,0.414,0.002,0.043
ENSGACT00000021952,-0.011,0.728,0.883
ENSGACT00000021954,0.008,0.582,0.816
ENSGACT00000021955,0.267,0.002,0.043
ENSGACT00000021956,0.099,0.198,0.545
ENSGACT00000021957,0.264,0.001,0.014
ENSGACT00000021958,0.337,0.001,0.014
ENSGACT00000021959,-0.196,0.001,0.014
ENSGACT00000021961,-0.045,0.452,0.783
ENSGACT00000021962,-0.042,0.728,0.883
ENSGACT00000021965,-0.004,0.988,1.000
ENSGACT00000021966,-0.022,0.566,0.816
ENSGACT00000021969,-0.037,0.798,1.000
ENSGACT00000021971,-0.008,0.620,0.816
ENSGACT00000021972,0.053,0.506,0.816
ENSGACT00000021976,-0.092,0.010,0.097
ENSGACT00000021978,-0.010,0.736,0.947
ENSGACT00000021979,0.226,0.022,0.152
ENSGACT00000021981,-0.147,0.001,0.014
ENSGACT00000021982,-0.016,0.964,1.000
ENSGACT00000021984,-0.100,0.028,0.163
ENSGACT00000021989,0.289,0.006,0.068
ENSGACT00000021993,0.118,0.102,0.465
ENSGACT00000021998,-0.209,0.062,0.266
ENSGACT00000022001,0.123,0.006,0.068
ENSGACT00000022002,-0.004,0.814,1.000
ENSGACT00000022003,0.334,0.001,0.014
ENSGACT00000022004,0.088,0.052,0.266
ENSGACT00000022007,0.067,0.396,0.708
ENSGACT00000022011,0.123,0.408,0.708
ENSGACT00000022013,0.181,0.508,0.816
ENSGACT00000022016,0.144,0.764,0.947
ENSGACT00000022020,0.076,0.300,0.641
ENSGACT00000022021,0.130,0.001,0.014
ENSGACT00000022024,0.293,0.001,0.014
ENSGACT00000022026,0.061,0.346,0.641
ENSGACT00000022030,0.024,0.706,0.862
ENSGACT00000022034,0.521,0.001,0.014
ENSGACT00000022035,-0.346,0.001,0.014
ENSGACT00000022036,0.639,0.001,0.014
ENSGACT00000022044,0.050,0.484,0.783
ENSGACT00000022045,0.151,0.052,0.266
ENSGACT00000022046,0.094,0.436,0.783
ENSGACT00000022047,-0.272,0.001,0.014
ENSGACT00000022048,-0.087,0.022,0.152
ENSGACT00000022050,-0.010,0.686,0.862
ENSGACT00000022057,-0.049,0.736,0.947
ENSGACT00000022064,0.181,0.012,0.102
ENSGACT00000022067,-0.046,0.660,0.862
ENSGACT00000022070,0.023,0.472,0.783
ENSGACT00000022072,0.082,0.232,0.545
ENSGACT00000022073,0.329,0.001,0.014
ENSGACT00000022081,0.119,0.592,0.816
ENSGACT00000022083,-0.160,0.001,0.014
ENSGACT00000022084,-0.122,0.034,0.206
ENSGACT00000022085,-0.092,0.386,0.708
ENSGACT00000022086,0.133,0.014,0.122
ENSGACT00000022089,-0.104,0.404,0.708
ENSGACT00000022090,0.181,0.056,0.266
ENSGACT00000022091,0.350,0.012,0.102
ENSGACT00000022094,-0.242,0.240,0.545
ENSGACT00000022100,-0.046,0.334,0.641
ENSGACT00000022103,-0.073,0.224,0.545
ENSGACT00000022104,0.043,0.700,0.862
ENSGACT00000022105,0.003,0.982,1.000
ENSGACT00000022109,0.456,0.001,0.014
ENSGACT00000022114,-0.053,0.306,0.641
ENSGACT00000022115,0.032,0.772,0.947
ENSGACT00000022116,-0.212,0.020,0.152
ENSGACT00000022118,-0.038,0.636,0.816
ENSGACT00000022122,0.170,0.100,0.343
ENSGACT00000022123,0.264,0.001,0.014
ENSGACT00000022124,-0.063,0.758,0.947
ENSGACT00000022130,-0.008,0.860,1.000
ENSGACT00000022131,0.099,0.074,0.325
ENSGACT00000022133,-0.376,0.001,0.014
ENSGACT00000022134,-0.254,0.001,0.014
ENSGACT00000022136,-0.004,0.556,0.816
ENSGACT00000022138,0.116,0.192,0.545
ENSGACT00000022141,0.096,0.046,0.254
ENSGACT00000022147,0.155,0.044,0.254
ENSGACT00000022149,0.028,0.912,1.000
ENSGACT00000022151,-0.218,0.002,0.043
ENSGACT00000022154,-0.495,0.001,0.014
ENSGACT00000022158,0.034,0.434,0.783
ENSGACT00000022165,0.262,0.080,0.325
ENSGACT00000022167,0.292,0.001,0.014
ENSGACT00000022172,-0.013,0.958,1.000
ENSGACT00000022174,0.020,0.996,1.000
ENSGACT00000022175,-0.056,0.398,0.708
ENSGACT00000022178,0.345,0.001,0.014
ENSGACT00000022180,0.051,0.724,0.883
ENSGACT00000022181,-0.073,0.096,0.343
ENSGACT00000022183,0.069,0.358,0.641
ENSGACT00000022188,-0.053,0.624,0.816
ENSGACT00000022189,-0.181,0.688,0.862
ENSGACT00000022190,0.105,0.166,0.511
ENSGACT00000022194,0.003,0.878,1.000
ENSGACT00000022195,0.127,0.088,0.343
ENSGACT00000022196,0.035,0.658,0.862
ENSGACT00000022197,0.250,0.002,0.043
ENSGACT00000022198,0.055,0.338,0.641
ENSGACT00000022204,0.025,0.902,1.000
ENSGACT00000022207,0.016,0.590,0.816
ENSGACT00000022210,0.060,0.412,0.783
ENSGACT00000022211,-0.113,0.116,0.465
ENSGACT00000022212,-0.085,0.144,0.503
ENSGACT00000022215,-0.003,0.838,1.000
ENSGACT00000022216,-0.352,0.001,0.014
ENSGACT00000022218,0.171,0.001,0.014
ENSGACT00000022220,-0.179,0.022,0.152
ENSGACT00000022224,-0.099,0.242,0.545
ENSGACT00000022225,0.130,0.120,0.465
ENSGACT00000022227,-0.098,0.010,0.097
ENSGACT00000022228,-0.102,0.244,0.545
ENSGACT00000022229,0.288,0.006,0.068
ENSGACT00000022231,-0.172,0.034,0.206
ENSGACT00000022232,-0.166,0.022,0.152
ENSGACT00000022233,0.293,0.001,0.014
ENSGACT00000022234,-0.146,0.048,0.254
ENSGACT00000022239,0.073,0.716,0.883
ENSGACT00000022244,0.013,0.792,1.000
ENSGACT00000022245,-0.235,0.008,0.068
ENSGACT00000022248,-0.226,0.044,0.254
ENSGACT00000022249,-0.063,0.384,0.708
ENSGACT00000022251,-0.140,0.194,0.545
ENSGACT00000022253,0.353,0.001,0.014
ENSGACT00000022256,0.061,0.566,0.816
ENSGACT00000022260,0.140,0.076,0.325
ENSGACT00000022264,-0.333,0.052,0.266
ENSGACT00000022265,-0.167,0.090,0.343
ENSGACT00000022267,-0.012,0.834,1.000
ENSGACT00000022273,-0.184,0.001,0.014
ENSGACT00000022274,-0.067,0.334,0.641
ENSGACT00000022275,0.152,0.060,0.266
ENSGACT00000022276,-0.416,0.008,0.068
ENSGACT00000022282,-0.034,0.274,0.554
ENSGACT00000022284,0.115,0.064,0.266
ENSGACT00000022287,0.047,0.634,0.816
ENSGACT00000022290,0.459,0.001,0.014
ENSGACT00000022291,-0.214,0.002,0.043
ENSGACT00000022293,-0.001,0.974,1.000
ENSGACT00000022297,0.454,0.001,0.014
ENSGACT00000022302,-0.142,0.001,0.014
ENSGACT00000022304,-0.038,0.420,0.783
ENSGACT00000022306,0.503,0.001,0.014
ENSGACT00000022307,0.138,0.102,0.465
ENSGACT00000022312,-0.074,0.340,0.641
ENSGACT00000022313,0.292,0.056,0.266
ENSGACT00000022315,-0.144,0.156,0.511
ENSGACT00000022318,0.083,0.050,0.254
ENSGACT00000022320,0.608,0.001,0.014
ENSGACT00000022324,-0.423,0.001,0.014
ENSGACT00000022327,0.111,0.310,0.641
ENSGACT00000022332,-0.141,0.004,0.068
ENSGACT00000022334,0.137,0.146,0.511
ENSGACT00000022336,0.219,0.010,0.097
ENSGACT00000022337,0.222,0.004,0.068
ENSGACT00000022338,0.139,0.306,0.641
ENSGACT00000022340,0.279,0.001,0.014
ENSGACT00000022341,0.040,0.646,0.862
ENSGACT00000022342,-0.013,0.774,1.000
ENSGACT00000022345,0.034,0.374,0.708
ENSGACT00000022346,0.126,0.026,0.161
ENSGACT00000022352,0.163,0.034,0.206
ENSGACT00000022354,0.273,0.002,0.043
ENSGACT00000022361,0.020,0.528,0.816
ENSGACT00000022364,0.131,0.186,0.537
ENSGACT00000022365,0.020,0.640,0.816
ENSGACT00000022367,0.011,0.928,1.000
ENSGACT00000022371,-0.217,0.008,0.068
ENSGACT00000022375,-0.068,0.156,0.511
ENSGACT00000022377,0.115,0.330,0.641
ENSGACT00000022378,0.068,0.404,0.708
ENSGACT00000022382,-0.138,0.280,0.554
ENSGACT00000022390,0.107,0.080,0.325
ENSGACT00000022391,0.084,0.024,0.161
ENSGACT00000022392,-0.097,0.050,0.254
ENSGACT00000022395,0.252,0.001,0.014
ENSGACT00000022399,0.253,0.001,0.014
ENSGACT00000022400,-0.018,0.668,0.862
ENSGACT00000022410,0.003,0.866,1.000
ENSGACT00000022413,-0.011,0.938,1.000
ENSGACT00000022416,0.150,0.058,0.266
ENSGACT00000022417,0.007,0.836,1.000
ENSGACT00000022419,0.167,0.014,0.122
ENSGACT00000022421,0.079,0.174,0.511
ENSGACT00000022422,-0.026,0.724,0.883
ENSGACT00000022427,0.102,0.190,0.537
ENSGACT00000022431,0.021,0.900,1.000
ENSGACT00000022435,0.144,0.196,0.545
ENSGACT00000022436,0.043,0.068,0.271
ENSGACT00000022439,0.068,0.528,0.816
ENSGACT00000022440,0.440,0.001,0.014
ENSGACT00000022441,-0.010,0.506,0.816
ENSGACT00000022444,0.048,0.464,0.783
ENSGACT00000022446,0.350,0.001,0.014
ENSGACT00000022449,0.044,0.640,0.816
ENSGACT00000022450,0.026,0.664,0.862
ENSGACT00000022452,-0.091,0.072,0.309
ENSGACT00000022454,-0.010,0.560,0.816
ENSGACT00000022461,0.052,0.316,0.641
ENSGACT00000022463,0.120,0.242,0.545
ENSGACT00000022468,0.164,0.008,0.073
ENSGACT00000022469,-0.060,0.330,0.641
ENSGACT00000022471,0.036,0.878,1.000
ENSGACT00000022472,-0.028,0.998,1.000
ENSGACT00000022473,0.389,0.001,0.014
ENSGACT00000022474,0.281,0.052,0.266
ENSGACT00000022475,0.071,0.448,0.783
ENSGACT00000022477,-0.059,0.244,0.545
ENSGACT00000022479,-0.110,0.066,0.266
ENSGACT00000022483,0.028,0.524,0.816
ENSGACT00000022484,0.078,0.638,0.816
ENSGACT00000022485,-0.196,0.001,0.014
ENSGACT00000022486,0.002,0.716,0.883
ENSGACT00000022489,0.312,0.006,0.068
ENSGACT00000022493,0.006,0.964,1.000
ENSGACT00000022495,-0.194,0.001,0.014
ENSGACT00000022497,0.159,0.102,0.465
ENSGACT00000022499,-0.113,0.036,0.206
ENSGACT00000022500,0.109,0.160,0.511
ENSGACT00000022502,-0.032,0.722,0.883
ENSGACT00000022508,0.061,0.278,0.554
ENSGACT00000022510,-0.067,0.330,0.641
ENSGACT00000022513,0.113,0.260,0.545
ENSGACT00000022515,-0.020,0.622,0.816
ENSGACT00000022516,0.193,0.040,0.254
ENSGACT00000022517,-0.032,0.500,0.816
ENSGACT00000022518,0.409,0.001,0.014
ENSGACT00000022519,-0.407,0.001,0.014
ENSGACT00000022520,0.269,0.002,0.043
ENSGACT00000022521,-0.178,0.032,0.191
ENSGACT00000022522,-0.014,0.944,1.000
ENSGACT00000022523,-0.076,0.270,0.545
ENSGACT00000022530,-0.076,0.430,0.783
ENSGACT00000022533,0.542,0.001,0.014
ENSGACT00000022536,-0.090,0.192,0.545
ENSGACT00000022537,-0.040,0.450,0.783
ENSGACT00000022539,-0.167,0.001,0.014
ENSGACT00000022540,-0.218,0.014,0.122
ENSGACT00000022541,0.076,0.164,0.511
ENSGACT00000022542,-0.115,0.290,0.640
ENSGACT00000022543,0.131,0.016,0.122
ENSGACT00000022550,-0.284,0.006,0.068
ENSGACT00000022552,-0.513,0.001,0.014
ENSGACT00000022554,0.523,0.001,0.014
ENSGACT00000022555,0.065,0.266,0.545
ENSGACT00000022556,0.546,0.001,0.014
ENSGACT00000022558,0.137,0.222,0.545
ENSGACT00000022562,0.035,0.884,1.000
ENSGACT00000022564,0.131,0.254,0.545
ENSGACT00000022566,0.119,0.060,0.266
ENSGACT00000022571,0.053,0.244,0.545
ENSGACT00000022574,-0.076,0.284,0.554
ENSGACT00000022580,0.279,0.004,0.068
ENSGACT00000022581,0.050,0.510,0.816
ENSGACT00000022582,0.190,0.052,0.266
ENSGACT00000022583,-0.083,0.304,0.641
ENSGACT00000022591,0.066,0.084,0.325
ENSGACT00000022592,-0.290,0.001,0.014
ENSGACT00000022593,0.279,0.001,0.014
ENSGACT00000022595,-0.064,0.360,0.641
ENSGACT00000022597,0.462,0.001,0.014
ENSGACT00000022599,0.301,0.001,0.014
ENSGACT00000022600,0.170,0.006,0.068
ENSGACT00000022601,0.023,0.856,1.000
ENSGACT00000022602,-0.039,0.718,0.883
ENSGACT00000022606,-0.049,0.454,0.783
ENSGACT00000022610,0.290,0.001,0.014
ENSGACT00000022617,-0.241,0.012,0.102
ENSGACT00000022619,-0.040,0.228,0.545
ENSGACT00000022621,-0.575,0.001,0.014
ENSGACT00000022626,0.613,0.001,0.014
ENSGACT00000022629,0.125,0.010,0.097
ENSGACT00000022633,0.027,0.906,1.000
ENSGACT00000022634,0.271,0.001,0.014
ENSGACT00000022636,0.053,0.232,0.545
ENSGACT00000022637,0.226,0.296,0.640
ENSGACT00000022640,0.076,0.356,0.641
ENSGACT00000022642,0.182,0.001,0.014
ENSGACT00000022645,0.871,0.001,0.014
ENSGACT00000022652,0.672,0.001,0.014
ENSGACT00000022654,-0.024,0.834,1.000
ENSGACT00000022659,0.162,0.192,0.545
ENSGACT00000022663,0.098,0.062,0.266
ENSGACT00000022665,-0.092,0.344,0.641
ENSGACT00000022667,-0.042,0.238,0.545
ENSGACT00000022669,0.279,0.001,0.014
ENSGACT00000022670,0.166,0.044,0.254
ENSGACT00000022674,-0.376,0.001,0.014
ENSGACT00000022676,0.095,0.226,0.545
ENSGACT00000022678,0.224,0.001,0.014
ENSGACT00000022682,0.415,0.001,0.014
ENSGACT00000022683,-0.150,0.001,0.014
ENSGACT00000022684,0.066,0.352,0.641
ENSGACT00000022687,-0.104,0.074,0.320
ENSGACT00000022688,0.083,0.130,0.465
ENSGACT00000022691,-0.058,0.142,0.503
ENSGACT00000022692,-0.018,0.978,1.000
ENSGACT00000022693,0.147,0.046,0.254
ENSGACT00000022694,0.226,0.001,0.014
ENSGACT00000022696,0.533,0.002,0.043
ENSGACT00000022705,0.485,0.001,0.014
ENSGACT00000022710,0.476,0.001,0.014
ENSGACT00000022712,0.084,0.492,0.816
ENSGACT00000022713,0.347,0.001,0.014
ENSGACT00000022714,-0.219,0.001,0.014
ENSGACT00000022718,-0.512,0.001,0.014
ENSGACT00000022729,0.162,0.034,0.206
ENSGACT00000022731,0.188,0.070,0.309
ENSGACT00000022732,0.064,0.724,0.883
ENSGACT00000022733,0.138,0.474,0.783
ENSGACT00000022735,-0.123,0.062,0.266
ENSGACT00000022737,0.053,0.278,0.554
ENSGACT00000022738,0.599,0.001,0.014
ENSGACT00000022746,0.114,0.250,0.545
ENSGACT00000022748,-0.866,0.001,0.014
ENSGACT00000022749,0.210,0.044,0.254
ENSGACT00000022751,0.233,0.001,0.014
ENSGACT00000022753,0.105,0.020,0.152
ENSGACT00000022758,-0.096,0.272,0.545
ENSGACT00000022759,0.377,0.001,0.014
ENSGACT00000022761,-0.008,0.980,1.000
ENSGACT00000022762,0.168,0.002,0.043
ENSGACT00000022763,-0.145,0.356,0.641
ENSGACT00000022767,-0.016,0.880,1.000
ENSGACT00000022770,-0.043,0.696,0.862
ENSGACT00000022772,0.176,0.060,0.266
ENSGACT00000022773,-0.061,0.506,0.816
ENSGACT00000022774,-0.207,0.001,0.014
ENSGACT00000022776,-0.137,0.232,0.545
ENSGACT00000022779,0.191,0.026,0.161
ENSGACT00000022784,0.073,0.400,0.708
ENSGACT00000022788,0.101,0.090,0.343
ENSGACT00000022789,-0.029,0.920,1.000
ENSGACT00000022792,0.265,0.022,0.152
ENSGACT00000022793,-0.027,0.338,0.641
ENSGACT00000022797,0.093,0.286,0.597
ENSGACT00000022799,0.448,0.001,0.014
ENSGACT00000022801,0.142,0.001,0.014
ENSGACT00000022804,0.088,0.048,0.254
ENSGACT00000022805,0.020,0.780,1.000
ENSGACT00000022807,-0.295,0.001,0.014
ENSGACT00000022809,-0.299,0.001,0.014
ENSGACT00000022810,0.152,0.008,0.073
ENSGACT00000022818,-0.079,0.470,0.783
ENSGACT00000022820,-0.014,0.856,1.000
ENSGACT00000022821,-0.193,0.066,0.266
ENSGACT00000022823,-0.195,0.016,0.122
ENSGACT00000022824,0.286,0.001,0.014
ENSGACT00000022825,0.192,0.058,0.266
ENSGACT00000022826,0.006,0.658,0.862
ENSGACT00000022827,-0.080,0.398,0.708
ENSGACT00000022831,-0.045,0.518,0.816
ENSGACT00000022841,0.096,0.290,0.640
ENSGACT00000022842,0.104,0.008,0.073
ENSGACT00000022843,0.171,0.001,0.014
ENSGACT00000022844,0.098,0.252,0.545
ENSGACT00000022850,-0.053,0.400,0.708
ENSGACT00000022852,0.599,0.001,0.014
ENSGACT00000022854,0.183,0.082,0.325
ENSGACT00000022857,-0.124,0.030,0.183
ENSGACT00000022863,0.069,0.450,0.783
ENSGACT00000022865,0.344,0.004,0.068
ENSGACT00000022867,0.133,0.166,0.511
ENSGACT00000022874,0.052,0.622,0.816
ENSGACT00000022875,-0.095,0.250,0.545
ENSGACT00000022876,0.455,0.001,0.014
ENSGACT00000022880,-0.023,0.542,0.816
ENSGACT00000022882,-0.131,0.022,0.152
ENSGACT00000022883,0.177,0.012,0.102
ENSGACT00000022884,-0.052,0.246,0.545
ENSGACT00000022886,-0.101,0.224,0.545
ENSGACT00000022887,0.072,0.090,0.343
ENSGACT00000022888,0.063,0.684,0.862
ENSGACT00000022889,0.077,0.088,0.343
ENSGACT00000022892,0.884,0.001,0.014
